train_acc,train_loss,val_acc,val_loss
0.7556799999999999,0.7818897,0.8631645569620253,0.3922757
0.8628299999999999,0.38716564,0.8661392405063288,0.36614892
0.87813,0.33569172,0.8793037974683545,0.33782554
0.88777,0.30807903,0.8771518987341772,0.34262374
0.89355,0.28466123,0.8890506329113925,0.30321294
0.89749,0.267689,0.8861392405063291,0.3144128
0.9037000000000001,0.25053835,0.8895569620253163,0.31522968
0.90812,0.23623367,0.8848101265822785,0.32485604
0.91254,0.22080223,0.8860759493670886,0.32816875
0.91723,0.20709433,0.8868987341772152,0.32413158
0.9200799999999999,0.19607213,0.8877215189873418,0.33777025
0.9242400000000001,0.18514371,0.8863924050632912,0.35499644
0.9296199999999999,0.17299235,0.8845569620253164,0.36000013
0.93182,0.16429633,0.8832278481012659,0.37227955
0.9362499999999999,0.15322809,0.8823417721518986,0.40184647
0.9398099999999999,0.14484769,0.8810759493670887,0.39617524
0.9420999999999999,0.1387948,0.8831012658227848,0.41435623
0.94541,0.13045518,0.879746835443038,0.41954485
0.9480999999999999,0.12408851,0.8785443037974684,0.44832784
0.95056,0.11757542,0.8815822784810128,0.48086822
0.95255,0.11371042,0.8755063291139239,0.49033394
0.955,0.10776315,0.8778481012658227,0.5165526
0.95701,0.104621895,0.8727848101265823,0.5185827
0.9594199999999999,0.0980495,0.876518987341772,0.5585011
0.95933,0.097641766,0.8784177215189874,0.567237
0.96169,0.092642866,0.8705696202531646,0.5586257
0.96267,0.09089157,0.8753164556962026,0.5676258
0.96511,0.08611286,0.873607594936709,0.59383404
0.9669000000000001,0.081565104,0.8756962025316457,0.58405316
0.96667,0.08177781,0.8770886075949368,0.586531
0.96911,0.07551085,0.874746835443038,0.59485674
0.96843,0.07701913,0.8736075949367089,0.6371916
0.96872,0.07678178,0.8757594936708862,0.6487733
0.97169,0.069962054,0.8743037974683543,0.6512323
0.9728400000000001,0.067105055,0.8713924050632912,0.6965704
0.9721700000000001,0.069244586,0.8718987341772151,0.67177486
0.97391,0.065189116,0.8756962025316457,0.6948627
0.9738000000000001,0.065992355,0.8746835443037974,0.6533136
0.9756200000000002,0.062118873,0.8740506329113924,0.6830496
0.9762600000000001,0.060408894,0.8728481012658228,0.689937
0.9752400000000001,0.061107017,0.8729113924050634,0.7258521
0.9770800000000002,0.057083726,0.8731645569620256,0.73574924
0.9778800000000001,0.056579538,0.8727215189873417,0.7938718
